,Question
108606,"She was only 19 when she published her 1st novel ""The Outsiders"" in 1967"
135265,It's the only airline that flies directly to the U.S. from Helsinki
84719,"<a href=""http://www.j-archive.com/media/2007-01-10_J_26.jpg"" target=""_blank"">This</a> pioneering Oscar winner was the 2006 <a href=""http://www.j-archive.com/media/2007-01-10_J_26a.jpg"" target=""_blank"">inductee</a> in the Black Heritage series"
103630,"This photographer's ""My Camera in the National Parks"" was released in 1950"
201726,"There are 33 letters in this alphabet seen <a href=""http://www.j-archive.com/media/2009-04-29_DJ_03.jpg"" target=""_blank"">here</a>"
107041,"This Latin abbreviation meaning ""in the same place"" sounds like something you do on eBay"
45811,Mount Ararat
122653,"""P"" is for this label founded in 1927 that makes beef barley & Italian-style wedding soup"
116130,Accessories of the dashing WWII Spitfire pilot included a leather helmet & a white silk one of these
166918,"(<a href=""http://www.j-archive.com/media/2007-12-06_DJ_23.jpg"" target=""_blank"">Jason Alexander delivers a clue about <i>Seinfeld</i>.</a>) ""The sea was angry that day, my friends"" when I saved one of these mammals by removing a golf ball from it (& yes, it was a Titleist)"
84146,Sesquicentennial pertains to this number of years
138203,"Medieval plagues were caused in part by widespread killing of these now common animals, then considered evil"
82240,"Say hey!  Say what?  In 1965 he hit 52 homers & won his ninth straight Gold Glove--& made $105,000"
83840,"(Jimmy of the Clue Crew biking up a hill)  When climbing & mountain biking, pick a gear that allows you to keep this between 60 & 90"
201616,"""The Seven"" is a hip-hop musical based on Aeschylus' ""Seven Against"" this city"
206812,"An associate of equal rank; you may be a ""jolly good"" one"
82527,During World War II Oveta Culp Hobby was director of this new force
59414,"Ecclesiastes says ""A man hath no better thing under the sun than to"" do these 3 ""hedonistic"" things"
42451,"Wayne State College is in Wayne, Nebraska; Wayne State University is in this largest Michigan city"
161319,"You've been dealt a ""speed limit"" if you hold a pair of these"
126753,"Slang for an incessant talker, it sounds like a container for gossip"
124157,On December 12 this U.S. Air Force pilot set a speed record by flying his Bell X-1A rocket plane over 1600 MPH
10733,"1989: ""Where does he get those wonderful toys?"""
80570,"Leviticus 23 mentions the Day of Atonement as well as this ""feast of unleavened bread"""
195107,"On ""The West Wing"", this former Brat Packer plays deputy communications director Sam Seaborn"
26654,"Portland, Oregon is ""The City of"" these flowers"
97398,In 1996 Sarah Jessica Parker joined boyfriend Matthew Broderick in the cast of this hit musical
39252,"From the Spanish for ""little armed one"", it's the state small mammal of Texas"
38259,"This singer did it his way & filmed his directorial debut, the WWII drama ""None But the Brave"", on the island of Kauai"
32076,"Around 1387, this poet wisely noted, ""in love, ther is but litel reste"""
199260,"(Cheryl of the Clue Crew at the Tennis Hall of Fame in Rhode Island)  Participant in the 1973 ""Battle of the Sexes"" who wore this jacket"
135155,"1977: ""May the force be with you"""
141641,"We don't know what his 1st wife did, but his 2nd, Eva, was an actress, & his 3rd, Isabel, a dancer"
52956,Steve Young
179548,This actor got his name by giving his mom a fetal kick while she viewed a Da Vinci work
134517,This physics term refers to the study of extremely low temperatures
3906,"Ben Stiller played this star of ""The Firm"" on a show where one category was ""FOODS THAT END IN 'AMBURGER'"""
142126,"""The Last Best Hope of Earth"""
65010,Stephen Collins plays a minister & father of 5 on this WB Network drama
163193,It's the only word in the presidential oath of office that may be replaced with another
102939,"Though dead since 1977, he still helps guide tourists through Graceland on audiotape"
173554,"Begun in 1877, it's the oldest of tennis' 4 grand slam tournaments"
17449,"During the Anglo-Spanish War of 1587-1604, Spain's Philip II & this English ruler died"
125355,"Nagle Jackson's 1999 comedy ""A Hotel on Marvin Gardens"" centers on this classic board game"
19579,A minuscule spirit in a magic lamp
102041,"""Brother Love's Travelling Salvation Show"" & ""Sweet Caroline"""
101334,A cherished stag
44276,THING: It's the cavity or tube that connects the oral & nasal passages with the esophagus & larynx
212500,"Published in 1928, ""All the Conspirators"" was the first novel by this British author of ""The Berlin Stories"""
162774,"1938: ""For her rich and truly epic descriptions of peasant life in China"""
141333,"Old-man, hedgehog & barrel"
44739,It makes a blacksmith's job much easier that this part of the horse has no nerves
157126,"In 1981 this man's company issued its first syndicated CSI, Customer Satisfaction Index"
73416,This ruler of Judea attempted to kill the infant Jesus
76484,This creature was far from his Himalayan home when he began lurking inside Disneyland's Matterhorn in 1978
173227,"""Positional"" type of comedy being performed here"
161207,"Gallophobia is not a fear of wine, but a fear of this country that produces a lot of wine"
173161,"This church faced periodic persecution for 300 years, until Constantine's conversion"
46699,Someone exhibiting attributes of these 2 related characters from an 1886 mystery might have a split personality
133810,"For her work on the management of common property, Elinor Ostrom is the first woman to win the Nobel Prize for this"
177624,"""It's the only thing that I could do half right, and it's turnin' out all wrong, Ma"""
86495,"In ""The Tale of Rabbit and Coyote"", rabbit escapes to this heavenly body, which makes the coyote howl at it"
44782,"This adjective means ""having left a will""; add the letters ""in"" & it means ""without making a will"""
124413,This day of the week is martedi
90193,In 1733 this Georgia Governor ordered Tybee Island Lighthouse to be built; it was America's tallest at 90 feet
67180,"(<a href=""http://www.j-archive.com/media/2005-01-17_J_12.jpg"" target=""_blank"">Hi.  I'm LeVar Burton.</a>)  I starred in this 1977 landmark miniseries that inspired millions of people to research their own family trees"
128993,Jake Gyllenhaal was reportedly ready to take over this role after Tobey Maguire suffered back pains
39529,"It was over an ""Old Country Store"" that the plane made this rotation on its longitudinal axis"
118369,"An Oscar winner for ""All The King's Men"", she was also a voice of the possessed child in ""The Exorcist"""
55419,"As an adjective, this 5-letter word can mean ""exorbitant""; as a verb, ""to soak in water"", like tea"
107983,This 1994 film about 2 drag queens & a transsexual featured the music of ABBA
150292,"""C is for Cooking: Recipes from the Street"" is a book of recipes from this TV street"
120131,The successor of Charlemagne as king of the Franks was the first of 18 French kings with this name
180236,"Automaker whose ad campaign centers around ""The heartbeat of America"""
180028,It was the persecution of this group that earned Bloody Mary her nickname
72432,In 1995 Keanu was chosen one of the 50 Most Beautiful People in the World by this magazine
63634,SAW NOTHING
107062,"If you get in on the ground floor, then go half a story up, you're on the floor called this"
29273,"An early version of this notion was Whitcomb Judson's ""clasp locker"""
92327,It can mean an insect or a person who devours volumes
140880,"John H. Johnson founded Ebony in 1945, Tan in 1950 & this magazine in 1951"
200691,They're the red in red flannel hash
146107,"In the first film, once Godzilla gets angry, he's intent on destroying this capital city of 8 million"
215224,"Before replacing Farrah Fawcett on ""Charlie's Angels"", this actress sang on ""Josie and the Pussycats"""
204041,"Something done to perfection is said to be done ""to"" this letter"
17196,Skopje is the capital of this nation that was once part of Yugoslavia
126235,"As the first Grand Inquisitor in Spain, this Dominican authorized torture"
189609,This North Carolina Republican is the wife of a former U.S. senator from Kansas
25164,"Amy's in a $46,000 dress embellished with crystal from the house of this Spanish designer whose first name was Cristobal"
97764,Antony Armstrong-Jones was made the Earl of this in 1961
215588,"Frankie ages a year over the course of this author's ""Member of the Wedding"""
147833,"It's not me in the 1959 photo seen here, but it is this debatable Soviet leader"
153469,"(<a href=""http://www.j-archive.com/media/2007-07-16_DJ_25.jpg"" target=""_blank"">Jimmy of the Clue Crew screens the facts.</a>)  Channel surfing is made possible by the light emitting diode in your remote, sending a signal of this non-visible light"
38549,"Wines made from this German white grape are characterized by a spicy, fruity bouquet"
164412,"It occupies 18,600 square miles in the West Indies & shares its island home with another nation"
62184,"An old proverb states that this ""knocks only once"""
201409,"His group, The Union Gap. took its name from the town of Union Gap, Washington"
42256,A large bear named Ben was the best friend of this Dan Haggerty TV character
84987,"19th century term for the belief that U.S. expansion across North America was ""destined by God"""
198758,"Oh, boy!  You get to eat with your hands & take in a jousting tournament at this chain of dinner theaters"
101434,He was the first president to serve 2 terms in office
84570,The third Monday of January starting in 1986
184034,"Approaching another car near Paso Robles, Ca. in 1955, his last words were ""That guy's gotta see us"""
16755,No point on any continent is closer to Antarctica than this Chilean cape
113185,"Osmiridium is, you guessed it, an alloy of this & iridium"
172588,The Order of the Eastern Star is a society of members of this fraternal organization
166272,"This Genoa-born violin virtuoso had many female fans, including Napoleon's sister Elisa"
197454,1964 movie song (34)
7776,"9,360 graham crackers, 9,312 marshmallows & 4,128 chocolate bars went into one of these made at a campground"
203122,"Guatemala City, Panama City, Mexico City"
80509,"This Kipling poem about a native water carrier appears in his collection ""Barrack Room Ballads"""
206771,Ash from an asteroid impact on this peninsula in Mexico may have covered the globe & killed off the dinosaurs
53388,"In the brain, the smell of perfume goes to this ""bulb"""
114188,The largest members of this phylum are the giant squids & the smallest are snails
201161,"After Russia became our ""friend"", he was referred to in the press as ""Uncle Joe"""
36175,One way to do this to your potting soil is with a formaldehyde drench
158146,"Some soaps & candles use oil pressed from copra, the dried white meat of this nut"
128493,"Founded in what is now Provo in 1875: A BIG HUG, MYRON"
196867,"Brecht served in a German army hospital during this war, but never as a surgeon as he claimed"
147391,"On June 25, 1876 this leader & his 650 men expected to find a few Indian warriors; surprise!  There were over 2,000"
32762,"Sarah goes gaga over Maurice in Graham Greene's novel ""The End of"" this"
69153,This royal was born in The Hague in 1650 & died in London in 1702
120569,"On Wall Street: Charles Merrill, Edmund Lynch, Edward Pierce, Charles Fenner &..."
139637,"Paul Krugman wrote ""The Return of Depression"" this, also the field in which he won a Nobel Prize"
103299,"I'm too svelte to play Sancho Panza, so I'll dance this title role instead"
121443,"In this film, Pauly & Sean Astin play a couple of kids who thaw out a caveman & try to use him to be cool"
199074,"This powerful cardinal formed a company of 5 authors, including Corneille, to write plays for him"
37031,"He painted the deaths of Lepeletier & Bara, as well as Marat"
105145,"In journalism it's more serious than a correction & means ""we take the whole story back"""
110009,"It's no rumor: this gossip maven sang ""Over the Rainbow"" on her album ""Miss Rona Sings Hollywood's Greatest Hits"""
95497,"Founded as a haven for freed American slaves, it became an independent country in 1847"
95319,"David's ""The Oath of the Horatii"": this national museum & art gallery of France"
101469,Oh d-d-dear-dear!  Where was it Pooh said we should meet? at least I have some haycorns in my pocket...
66630,"In a cantata by this composer heard <a href=""http://www.j-archive.com/media/1997-10-20_J_18.mp3"">here</a>, Lieschen sings of her need for coffee:"
134604,Clarence Darrow & Jimmy Hoffa faced trial for tampering with these to affect earlier trials
176380,This university's sports teams are known as the Mountaineers
156126,"A smart glowworm grows up to be one of these ""flies"""
55033,"1760s political activist James Otis is credited with the phrase ""taxation without"" this ""is tyranny"""
43222,Harriet Beecher's private agonies
142760,"This ""bird-brained"" group runs 8 education centers & over 100 sanctuaries in the U.S."
150564,"Marzipan, used to cover or decorate cakes, is a paste made from this nut"
13059,This U.S. president's pet grizzly bears were a present from Lewis & Clark
99695,A promise of a refund if a purchased product is unsatisfactory
155392,This Florida senator was the first Democratic candidate to drop out of the race
132972,He created cabinet posts for HUD & the Department of Transportation
142098,"Among the oldest rocks on Earth are 4-billion-year-old pieces of this, from which New Hampshire gets its nickname"
22762,"Born October 2, 1869 in Porbandar, India, didn't eat much, died January 30, 1948 in New Delhi"
18338,This word for the area down by the lake & activities there is also found in a Brando film title
158262,Voting for half Democrats & half Republicans is voting a split this
12890,"The film title ""Eternal Sunshine of the Spotless Mind"" comes from a poem about these ill-fated medieval lovers"
60647,"In 751 Pepin the Short's title was changed from ""Mayor of the Palace"" to ""King of"" these people"
140764,"In 1945, after the wartime years in England, Queen Wilhelmina crossed the North Sea & returned to this country"
25322,This greeting is Guten Morgen!
69896,"The name of this biblical son of Abraham who was cast away after the birth of Isaac now means ""outcast"""
100637,Aveeno
2981,In 1879 this was discovered when a scientist's food was found to be sweet from the residue of a coal tar experiment
172463,"1 of the 2 Muses with ""terp"" in their names"
154707,1998: Matt Damon
73875,"Learn how to get the best deals in ""The Travel Detective"" by Peter Greenberg, travel editor of this NBC morning show"
6457,"The Rosenbach Museum & Library in Philadelphia houses his original manuscript of ""Ulysses"""
170776,Robert Altman's 1975 movie about the music business
170393,Jose Marti
87800,"Shane Mosley, Sonny Liston"
45347,He betrayed Jesus with a kiss
158034,Girls in high school participate in this highest level of Girl Scouting
211947,His son was the first president of the International Harvester Company
188020,"In the 1870s this type of bon vivant, so called for the wide streets he frequented, came into vogue"
186958,2011 New Student Orientation began at Providence College
59699,In August 1968 clashes between demonstrators & police riveted the nation's attention at this political gathering
47085,"Produced by John Rich, this John Gay musical play was said to have ""made Gay rich & Rich gay"""
191383,"A popular song of the day asked this guy, ""Won't you please come home?"""
41775,Anarchist Alexander Berkman tried to kill this steel magnate for whom a NYC museum is now named
120126,"Cast in a battle scene in ""Lord of the Rings"", NZ's army had to back out to keep peace in this Indonesian province"
191404,Each week when Roger Moore looked up at beginning of “The Saint” this appeared above his head
3653,"Listen, you white-bellied bustard, I know where you live-- this continent's savanna"
90315,The 2 tectonic plates that meet at California's San Andreas Fault
102868,This New World snake with a French name injects enough venom in one bite to kill several humans
19244,"A host of sacred writings are in the Scrolls, including a commentary about this psalm writer"
98272,"""X"" chromosomes are inherited from both parents:  those with this designation only from the father"
8838,"On December 7, 1787, Delaware became the 1st state to do this"
207743,"At the end of this 1927 film, Maria & her robot twin are stalked by mobs as disaster strikes the title city"
65438,"Originally, it was a tribute paid by English & Scottish farmers to freebooters for protection from harassment"
65277,"Type of design that's the title of a work by Raymond Loewy, who designed bottles, cars & refrigerators"
135211,It's the French equivalent of a whatnot
162753,This primary color is giallo
184249,In 1638 this king's wife Anne of Austria gave birth to a son & future sun king
143876,It’s the part of the body a doctor would examine with a rhinoscope
28330,"As Volvo's safety engineer, Nils Bohlin invented the 3-point type of this device"
207146,"The country tune ""Song Of The South"" mentions pie made from this tuber"
214895,"A Prussian maritime provimce is thought to be the original name of this dog, seen here"
123257,"His collection, ""The Children of the Night"", contained his frequently reprinted poem ""Richard Cory"""
66922,The building housing local administration offices that are also used for public meetings
74558,U.S. city noted for its cream cheese & cheese steaks
23966,"It's a type of gentle liquid cleanser, or of flattery"
45335,For your all-around fabness: One of these scholarships that have been sending U.S. kids to Oxford since 1904
119834,"Also the title of a 1595 play, it's a traditional belief or story that's often superstitious"
29988,"Before he went into politics, Cicero used his oratorical skills in this profession"
80022,AT&T says more collect calls are made on this holiday than on any other day of the year
142305,"(<a href=""http://www.j-archive.com/media/2005-03-29_DJ_26.jpg"" target=""_blank"">Sarah of the Clue Crew points to a planetary symbol on a chalkboard.</a>)  The seventh planet has a symbol that incorporates the first initial of this discoverer's last name"
35175,This capital is built on a promontory with the Lebanon Mountains behind it
167697,"In an 1863 essay Harriet Beecher Stowe called this woman whom she had met with ""The Libyan Sibyl"""
173981,"The reverse of this great American image is <a href=""http://www.j-archive.com/media/2007-04-26_J_18.jpg"" target=""_blank"">seen here</a>"
184947,"If you want to build a new you, create a toned, buff one of these online facsimiles in ""Virtual Hills"""
199124,It describes a string stretched out fully & is a homophone for instructed
193339,"This Midwest city is home base to Cardinals, Rams & Clydesdales"
12897,"Krazy Glue advises if fingers get stuck together soak them in this solvent, or a nail polish remover that contains it"
135228,In 1834 Stephen Austin was held in prison for 8 months in this country
176607,Name shared by famous cemeteries in Idaho City & Dodge City
60901,In 1946 the name of Podgorica was changed to this for Yugoslavia's leader; it was changed back in 1992
165841,Eminem compared himself & his daughter to this gangster duo of the 1930s
45851,Meryl Streep starred in a campus production of “Miss Julie” as an undergrad at this Poughkeepsie college
49944,"The ""little star"" is ""up above the world so high like"" one of these ""in the sky"" & if I hear it one more time, I'll cry"
40963,Goldie Hawn title character is promoted to Prime Minster under Victoria & becomes...
25476,"Sounds fishy, but there's a shade named for these legendary sexy sea creatures--must be the color of their tails"
58062,In 1972 this country returned control of Okinawa to Japan
93339,"Discovered in 1858, Donati, one of these, developed a curved dust tail & 2 thin gas tails"
81708,"Slightly larger than Maryland, this nation is located on the eastern shore of the Adriatic Sea"
111829,"This hamburger chain's logo, a red-haired pigtailed girl, was based on the real-life daughter of its founder"
47233,A black & tan mixes light-colored ale & this dark brew that made Guinness famous
215887,Fabric from goat hair
148867,"Too late to hold a Christmas show, this home to the Rockettes opened December 27, 1932"
129853,"On Nov. 2, 1983 the U.S. declared that hostilities on this invaded island had ended"
139816,"Now coexisting with the Roman Catholic Church there, it's the chief religion of many of the people in Haiti"
137918,"Glasscock, Guadalupe, Galveston"
32666,After the Civil War this vice president of the Confederacy served in the U.S. Congress
184813,This big screen bio recounted the trials & tribulations of gorilla advocate Dian Fossey
21492,It's the town where 20 people were executed for being witches in 1692
209605,"Ah will not sully mah hand in this barbaric practice that resulted in Button Gwinnett's 1777 death! Good day, suh!"
65232,Where surgery is performed: OR
12784,"""Jaundiced U-Boat"""
144205,"Padres fans know this feathered trickster has been called ""the Sir Laurence Olivier of mascots"""
191352,"""Yabba dabba do!"" was his catchphrase"
17460,This piece of furniture found next to a bed is called a bed table
67460,"3-word term that means inflexible or strongly binding, such as rules"
167771,"Throughout a 1954 book, this elephant repeats, ""A person's a person, no matter how small"""
136664,Organ that contains special cell clusters called the Islets of Langerhans
73535,I saw the announcement of the Good Friday Agreement for peace in this U.K. land
90035,Swoop is the mascot of this Philadelphia NFL team
170760,"This Madrid museum has Van Dyck's ""Beatrice, Countess of Oxford"" & ""The Executions"" by Goya"
115444,"Born in Clydebank, political writer James Reston had this nickname, like a ""Star Trek"" engineer"
210107,"Mollie Katzen popularized this kind of diet with the ""Moosewood Cookbook"""
41008,"(<a href=""http://www.j-archive.com/media/2011-02-11_DJ_16.jpg"" target=""_blank"">Lindblad Expeditions naturalist Tom Ritchie delivers the clue from South Georgia.</a>) Unlike the larger emperor, this second biggest species of penguin prefers the sub-Antarctic islands, like South Georgia, better than ice for forming its vast colonies"
66944,"It must have made this author miserable to know his ""Hunchback of Notre Dame"" was included"
162311,"In commercials, kids reach past purple stuff to get at this orange-colored drink"
97581,A sick girl's thirst is about to be quenched in the image on this medal
34448,"This Spencer Tracy-Elizabeth Taylor film was followed 1 year later with a sequel, ""Father's Little Dividend"""
4814,"In 1917 he called for a declaration of war against Germany saying that ""The world must be made safe for democracy"""
96514,"A president ""shall have the power to grant reprieves and"" these ""for offenses against the United States"""
27114,Among the top stories is the flare-up of violence over a tunnel entrance in this Mideast city
76993,"On the same page as ""epitaph"" in the dictionary, it can be a characterizing word or an abusive one"
84888,"A type of mineral water sparkles with the name of this French spa town, the capital of unoccupied France"
56215,The westernmost country in North America
204615,"This actor & Nicole Kidman light out for the Oklahoma territory in 1992's ""Far and Away"""
210566,This 1939 Ford model resulted from Edsel Ford's wanting a luxury car like they had in Europe
58426,Your optometrist may use drops to dilate this circular opening in the center of the iris
177486,"This country's leaders have included Yusof Bin Ishak, Benjamin Sheares & Lee Kuan Yew"
191935,"Delta Airlines moved its headquarters from Monroe, La. to this city in 1941"
52974,Doug Flutie
216779,"(<a href=""http://www.j-archive.com/media/2006-09-29_DJ_24.jpg"" target=""_blank"">Kelly of the Clue Crew enlightens us as she sits in lotus position.</a>)  Energy is said to rise from the base of the spine to the agna chakra, also called the third one of these, like the one that appeared on Lord Shiva"
117834,"Elvis Costello & Sean Penn guested on the ""Back Off, Mary Poppins"" episode of this Charlie Sheen show"
117323,"Presley O'Bannon's Marine detachment raised the American flag on the ""shores"" of this North African state in 1805"
90737,Kirk was more than O.K. as this dentist in 1957
105918,In 1989 Julian Bond dedicated a civil rights memorial designed by Maya Lin in this Southern state capital
71291,France's king & queen make a royal visit to the guillotine
172928,"It's the common name for squirrels of the subfamily Pteromyinae (hint: ""ptero-"" is Latin for ""winged"")"
67819,"Miami Beach, Philadelphia & this are the cities that have hosted the Democratic & GOP conventions in the same year"
113098,"""If You Love Somebody Set Them Free"" (1985)"
134862,"Not as popular as brunch, ""lupper"" comes from these 2 words"
208340,Miners in San Francisco used Lactobacillus sanfrancisco in the air to make this
71271,"Before oil was discovered there, this country's main income came from pearl diving, fishing & camel breeding"
168089,"Of this state Denver sang ""Life is old there, older than the trees"""
80718,"Little did Thomas' daughter Patsy know she'd be played by Gwyneth Paltrow in ""Jefferson in"" this city"
205768,"""My Friend Irma"" was his 1949 film debut; he may have heard Jerry Lewis say, ""<a href=""http://www.j-archive.com/media/2006-11-08_J_15.mp3"">Hey laaaaaaady!</a>"" a lot"
154945,"Cobbler's dream seen <a href=""http://www.j-archive.com/media/2007-03-26_J_30.jpg"" target=""_blank"">here</a>"
197562,Its name refers to the resemblance of its blossom end to a human umbilicus
141578,"It was discovered that these, which share their name with insect parts, improved radio reception"
77063,"The only time he was knocked out (TKO) was on October 2, 1980 against Larry Holmes"
190059,The Pittsburgh-based union of these workers was not happy with Pres. Bush's decision to lift tariffs
186813,"Kids love her as ""Mary Poppins"" & as the author of ""The Last of the Really Great Whangdoodles"""
7171,The Houses of Lancaster & York used different colored types of these flowers as their symbols
111414,Capital named for explorer who was a prisoner in the Tower of London for 13 years
143377,"In 1985 audiences were ""Laugh-In"" at her show ""The Search for Intelligent Life in the Universe"""
22031,Richard Byrd is seen here preparing to visit this geographic extreme
159389,It's the descriptive shape of an egg timer & a curvaceous woman
121922,"This street in New Orleans' French Quarter is named for a royal house, not for whiskey"
74218,"In options trading, to sell is to ""put"" & to buy is to do this"
131599,"In 1804 Joseph Gay-Lussac went up, up & away in one of these to research the atmosphere"
191284,This British prime minister must have hated his 1954 birthday portrait by Graham Sutherland; his wife destroyed it
67099,This Milan opera house was built by Maria Theresa of Austria to replace the Royal Ducal Theatre
4127,"Richard DiLallo & this author teamed to write ""Alex Cross's 'Trial"
207972,"This hero used Dr. Donald Blake & Sigurd Jarlson as aliases & tips the scales at a thunder-god-like 6'6"", 640 pounds"
100182,"""You sank my aircraft carrier!"""
160082,"""Get down to"" these & you're working on what's important"
89148,"""Bella Donna"""
141278,"Proverbially, ""Straighten up"" & do this"
61654,It is term for each word in clue; ape man good at speak this way
143583,"On June 14, 1992 this world leader returned to the Russian Orthodox church after years as an athiest"
88673,"This eastern Mediterranean nation famous for its cedars declared its independence on Nov. 26, 1941"
198688,"A pronoun, or a song like ""Alas! And Did My Savior Bleed?"""
181484,Adjective for Bavaria's Ludwig II (3)
144339,1971 James Bond film in which Jill St. John played Tiffany Case
19237,"""Fiery"" adjective used for statements that arouse angry action or rebellion"
142358,"This bird's name can also mean ""to swindle"" & it's found in an ancient board game"
195251,John D. MacDonald used colors in the titles of all the adventures of this private investigator
82876,Impulses from some receptors of this sense have the longest path to the brain
100183,Proud Masai warriors like these live in either of these two east African countries
84591,De rigueur wear for schussers & bank robbers
175361,"To take a meeting with the man seen here at his residence, you'll have to head to this street"
181496,Canned pears are most likely to be this variety
198300,1921 saw the creation of this organization for which a Manhattan bus terminal is named
110265,"From 1963 to 1967, America watched Detective Gerard chase his quarry on this series (& rooted against him the whole time)"
31503,"A British act of 1732 prevented the colonists from exporting these, made out of beaver or anything else"
138665,"Around 1766 B.C. the Shang kingdom arose along the valley of this river, also known as the Huang He"
53481,"The elder of these German painters did mostly altarpieces; ""the Younger"" painted mostly portraits"
77609,Oven or uncle preceder (5)
146029,"Well, ""Cry Me a River"", in 2004 he won the Grammy for Best Male Pop Vocal Performance"
192290,"Though not identified until 1808, it still managed to get a low single-letter abbreviation, B"
201764,Behaviorists & dogs drool over the work of this Russian physiologist
101312,In 2007 this Timberwolves superstar was traded to the Boston Celtics
107671,"During adolescence, acne is caused by an overabundance of oil produced by these glands"
154690,"After you perform this Japanese ritual suicide, a friend or kinsman is supposed to decapitate you"
84331,"In the duodenum, your stomach contents mix with juices from the liver, gallbladder & this organ"
161747,"On this show, Jack Klugman starred as a crime-solving forensic investigator"
103612,"This ""Brave New World"" author's 1921 novel ""Crome Yellow"" abounds with eccentric characters"
77810,He got his controversial talk show on Fox News in 1996
168614,"His title roles have included ""Ace Ventura"" & half of ""Dumb & Dumber"""
31094,"(<a href=""http://www.j-archive.com/media/2008-05-27_DJ_20.jpg"" target=""_blank"">Cheryl reports from the American Museum of Natural History in New York.</a>) A new pavilion features a 3500 lb. sculpture of one of these spheres used by early astronomers to represent the circles of the heavens"
174610,"""Behind These Hazel Eyes"" was a hit for this Idol"
121541,Oklahoma once competed annually with Georgia to see who could make the biggest pie out of these nuts
67072,"English title of Paul Dukas' symphonic piece ""L' Apprenti Sorcier"""
115068,"I'm not a piece of farm equipment, I'm this shark of the genus Alopias that uses its long tail to stun prey"
114985,In the 1600s this country produced some of the greatest masters; in the 1700s its best painter was Cornelis Troost
9025,"Hilo, I love you, you're the seat of this county that's also a ""Big Island"""
46063,Many of the gems sold as topaz are actually the citrine variety of this stone
102678,"Things were always ""Verrry Interesting"" for this ""Laugh-In"" actor in German garb"
26609,"Get your daily dose of A, B & C with a One-A-Day one of these"
171122,"William Makepeace Thackeray wrote that ""Some of the love passages"" of this Charlotte Bronte work ""made me cry"""
171701,Cheilitis is the cracking & dryness of these; Chap Stick may give you relief
172490,"At age 162, Jered did it to Enoch in Genesis 5"
187651,This Bahamian capital took its name from the family name of King William III of England
32942,Andrew Kevin Walker wrote & played a dead man in this movie about a killer using the deadly sins as his M.O.
95256,"Ed Asner made his big screen debut in ""Kid Galahad"", a 1962 film with this rock star in the title role"
145620,"On the night of July 9, 1943 the Allies began their landing on this Italian island"
70358,This slang word for a taxi or its driver is shortened from the name of a horse-drawn carriage
134102,"The first ""Farm Aid"" relief concert was held in 1985 in this North-Central U.S. city"
59923,"Meteorologically speaking, it completes the old English saying ""Blest be the bride that..."""
110617,This legendary creature lives in deep water in Scotland's Great Glen Fault
57541,Sinatra made his 1st record in July 1939 as a vocalist for this trumpeter's band
179004,This younger brother of Rob is married to Hilary Swank
16009,"Often a cucumber, it can be any fruit or vegetable preserved in vinegar"
18230,"Len Cariou, Broadway's original Sweeney Todd, plays this author in the one-man show ""Papa"""
208264,"Used in 2008 political mudslinging, this Marxist theory lies ""between capitalism & communism"""
99689,Artist Marcel Duchamp added one to the Mona Lisa
172813,The operation that took out Osama Bin Laden was monitored from this White House room
109230,In 1505 this Protestant reformer earned a master of arts degree from the University of Erfurt
139742,"<a href=""http://www.j-archive.com/media/2011-02-10_J_10.jpg"" target=""_blank"">This</a> freshwater game fish is named for a small body of water"
213316,Magic has been banned by Uther Pendragon in the Syfy series about this title youthful wizard
153623,Flakes of this top a bialy
126414,"At 3,600 square miles, it's the largest island in the Mediterranean where Italian is not an official language"
60226,"On May 4, 1989 he was found guilty of accepting an illegal gratuity, a home security system"
129205,"In ""A Moveable Feast"", this writer said that Ezra Pound taught him ""to distrust adjectives"""
34725,The press called JFK Jr. by this boyhood nickname
4321,"Willie Nelson must be ""wond'rin' what in the world did I do"" by writing this Patsy Cline hit"
121355,"1981:  ""Watching the Wheels"""
112492,"Steinbeck: ""And Carlson said, 'Now what the hell ya suppose is eatin' them two guys?'"""
47562,"In 1996 id Software developed this shoot-em-up top seller; in 1997, a sequel"
18572,"""Reba"", ""Seinfeld"", ""Maude"""
176126,The Germans' summer offensive of 1942 in this country was driven in part by a need to gain oil supplies from the Caucasus
129626,Many auteurs started out on this cartridge-loading 8mm format that Kodak introduced in 1965
49046,"If digestive enzymes build up in this insulin-producing organ, it can digest itself"
130679,The breakup of AT&T created 7 Baby ones in 1984
107542,Mayonnaise is an example of this colloidal dispersion of liquid particles in another liquid
213008,"A Paul Westerberg song says, ""I try and comprehend you but I got"" this type of heart, having a learning disability"
157185,Amadis of Gaul & Don Quixote are examples of this kind of knight who wanders in search of adventure
37299,It ended the French & Indian War (1763)
86023,"This New Wave group's album ""Shake It Up"" begins with the lachrymose ""Since You're Gone"""
145590,"Robert Redford & this ""Picket Fences"" star both debuted as soldiers in the 1962 drama ""War Hunt"""
15420,Extra atoms of this element are pumped into unsaturated oil to make hydrogenated fat
103519,Climb aboard!  He's the captain of the Ghost in a 1904 Jack London story
165693,"Michael Eisner is off the list, but this septuagenarian member of the Disney family is still on it"
201169,"Medical thriller writer who has given us ""Coma"" & ""Vector"""
114951,In 1965 this city completed the USA's tallest man-made monument at 630 feet
17221,"If you go to Goa, you may try feni, a local liquor that can be made from these kidney-shaped nuts"
